Workshop,Region/Country,Industry,Organization size,Participant ID,Race,Gender,Orientation,Age,Disability,Years in company,Satisfaction,Staff level,Staff type,,,,,,,,,,,,,,,,
006,US,Various,N/A,549,black,female,heterosexual,50,visible,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,550,black,male,bisexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,551,black,female,heterosexual,40,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,552,asian,female,heterosexual,20,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,553,white,female,,50,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,554,multi-racial person,woman,queer,30,invisible,0,-2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,555,white,female,heterosexual,20,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,556,n ethnic Chinese,male,gay,60,invisible,0,0,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,557,white,female,heterosexual,40,invisible,0,0,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,558,asian,male,gay,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,559,black,female,heterosexual,60,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,560,hispanic,non-binary,queer,50,invisible,0,-2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,561,white,female,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,562,Mixed-race,female,heterosexual,30,invisible,0,-1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,563,black,female,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,564,white,female,heterosexual,30,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,565,white,male,heterosexual,50,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,566,black,female,heterosexual,30,invisible,0,-1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,567,white,female,gay,60,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,568,white,female,heterosexual,40,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,569,asian,male,gay,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,570,white,female,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,571,asian,female,heterosexual,20,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,572,black,female,,60,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,573,white,female,heterosexual,40,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,574,black,female,heterosexual,40,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,575,white,female,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,576,white,female,heterosexual,60,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,577,white,male,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,578,white,female,heterosexual,40,invisible,0,0,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,579,white,female,heterosexual,40,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,580,Afro Latina,female,heterosexual,30,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,581,hispanic,female,heterosexual,20,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,582,white,female,heterosexual,20,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,583,white,female,heterosexual,50,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,584,hispanic,female,heterosexual,40,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,585,white,female,heterosexual,40,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,586,asian,female,heterosexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,587,asian,female,heterosexual,50,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,588,Puerto Rican,female,empty,50,invisible,0,-1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,589,mixed race,female,heterosexual,30,none,0,-2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,590,white,female,heterosexual,30,invisible,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,591,black,female,gay,30,invisible,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,592,hispanic,female,heterosexual,50,none,0,-1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,593,white,female,bisexual,30,invisible,0,-2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,594,black,female,,60,none,0,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,6,white,male,gay,40+,none,2,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,7,white,male,heterosexual,50+,none,17,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,8,white,female,heterosexual,40+,none,1,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,9,black,female,heterosexual,40+,none,11,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,10,white,male,heterosexual,50+,none,9,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,11,white,male,heterosexual,50+,none,20,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,12,white,female,heterosexual,50+,invisible,5,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,13,hispanic,female,heterosexual,40+,none,9,2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,14,white,female,heterosexual,50+,invisible,5,-2,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,15,white,male,heterosexual,60+,none,5,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,16,hispanic,female,heterosexual,60+,none,12,0,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,17,asian,female,heterosexual,40+,none,9,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,18,white,male,heterosexual,60+,none,5,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,19,white,female,heterosexual,40+,none,18,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,20,black,female,heterosexual,50+,none,20,-1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,21,black,female,heterosexual,30+,invisible,13,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,22,hispanic,female,heterosexual,40+,none,20,1,,,,,,,,,,,,,,,,,,
007,US,Financial Services,3600,23,white,female,empty,40+,none,1,2,,,,,,,,,,,,,,,,,,
